"m_sp"	"m_sf"	"sf_treatment"	"treatment"	"time"	"subsample"	"replicate"	"APN"	"DPP4"	"NEP"	"tot_sperm"	"HA"	"VCL"	"LIN"	"ALH"	"n_dead_sperm"	"tot_sperm_viab"	"number_motile_cells_int"
"8"	"2"	"foreign"	"SF"	"90"	"b"	"1"	3.76	9.24	1.52	148	0	58.6	34.2	0.6	1076	4644	16
"8"	"2"	"foreign"	"SF"	"90"	"b"	"2"	3.76	9.24	1.52	114	0	71.1	34.1	0	1382	4807	28
"2"	"2"	"own"	"SF"	"30"	"b"	"1"	3.76	9.24	1.52	132	0	63.7	32	0	NA	NA	18
"2"	"2"	"own"	"SF"	"30"	"b"	"2"	3.76	9.24	1.52	116	0	76.3	38	0.3	NA	NA	21
"2"	"2"	"own"	"SF"	"90"	"b"	"2"	3.76	9.24	1.52	118	0	58.2	32.2	0	1245	4157	22
"2"	"2"	"own"	"SF"	"90"	"b"	"1"	3.76	9.24	1.52	142	0	58.7	36.4	0	1107	4395	19
"9"	"2"	"foreign"	"SF"	"30"	"b"	"2"	3.76	9.24	1.52	96	1	96.3	48.1	1.4	NA	NA	41
"9"	"2"	"foreign"	"SF"	"30"	"b"	"1"	3.76	9.24	1.52	144	0	96.6	41.5	1.3	NA	NA	47
"9"	"2"	"foreign"	"SF"	"90"	"b"	"1"	3.76	9.24	1.52	136	0	53	30.7	0	1152	4054	28
"9"	"2"	"foreign"	"SF"	"90"	"b"	"2"	3.76	9.24	1.52	130	0	69.5	34.8	0.3	1193	4033	26
"3"	"2"	"foreign"	"SF"	"30"	"b"	"1"	3.76	9.24	1.52	115	0	42.8	38.9	0.8	NA	NA	32
"3"	"2"	"foreign"	"SF"	"30"	"b"	"2"	3.76	9.24	1.52	134	0	58.2	46.4	0.7	NA	NA	34
"3"	"2"	"foreign"	"SF"	"90"	"b"	"2"	3.76	9.24	1.52	168	0	43.2	35.6	0	1388	5275	35
"3"	"2"	"foreign"	"SF"	"90"	"b"	"1"	3.76	9.24	1.52	117	0	45.1	32.3	0	1264	5022	22
"4"	"2"	"foreign"	"SF"	"30"	"b"	"2"	3.76	9.24	1.52	132	1	62.3	42.9	0.9	NA	NA	54
"4"	"2"	"foreign"	"SF"	"30"	"b"	"1"	3.76	9.24	1.52	127	0	69.7	43.2	0.9	NA	NA	50
"4"	"2"	"foreign"	"SF"	"90"	"b"	"2"	3.76	9.24	1.52	148	0	59.1	35.3	0.3	1238	4234	69
"4"	"2"	"foreign"	"SF"	"90"	"b"	"1"	3.76	9.24	1.52	160	0	60	33.7	0.3	943	3787	60
"5"	"1"	"foreign"	"SF"	"30"	"b"	"1"	3.74	10.72	0.77	129	0	73.8	51.9	1	NA	NA	78
"5"	"1"	"foreign"	"SF"	"30"	"b"	"2"	3.74	10.72	0.77	125	1	82.9	49.8	1.1	NA	NA	80
"5"	"1"	"foreign"	"SF"	"90"	"b"	"1"	3.74	10.72	0.77	131	0	76.8	40.6	0.9	1138	6193	64
"5"	"1"	"foreign"	"SF"	"90"	"b"	"2"	3.74	10.72	0.77	136	0	77.1	40.5	1.1	1024	5927	73
"6"	"1"	"foreign"	"SF"	"30"	"b"	"1"	3.74	10.72	0.77	146	0	69	37.8	0.9	NA	NA	49
"6"	"1"	"foreign"	"SF"	"30"	"b"	"2"	3.74	10.72	0.77	120	0	78.8	43.1	1.1	NA	NA	55
"6"	"1"	"foreign"	"SF"	"90"	"b"	"2"	3.74	10.72	0.77	103	0	65.4	36	0	931	5413	42
"6"	"1"	"foreign"	"SF"	"90"	"b"	"1"	3.74	10.72	0.77	90	0	65.8	38.3	0.5	1080	6281	28
"7"	"1"	"foreign"	"SF"	"30"	"b"	"2"	3.74	10.72	0.77	94	0	59.7	36	0.5	NA	NA	16
"7"	"1"	"foreign"	"SF"	"30"	"b"	"1"	3.74	10.72	0.77	134	0	64.5	37.2	0.6	NA	NA	45
"7"	"1"	"foreign"	"SF"	"90"	"b"	"2"	3.74	10.72	0.77	92	0	45.3	40.1	0.3	1237	5275	17
"7"	"1"	"foreign"	"SF"	"90"	"b"	"1"	3.74	10.72	0.77	133	0	66	36.4	0	1069	5094	31
"1"	"1"	"own"	"SF"	"30"	"b"	"2"	3.74	10.72	0.77	148	0	64.8	52.6	1	NA	NA	64
"1"	"1"	"own"	"SF"	"30"	"b"	"1"	3.74	10.72	0.77	94	0	70.6	54.4	1	NA	NA	53
"1"	"1"	"own"	"SF"	"90"	"b"	"2"	3.74	10.72	0.77	108	0	50.4	41.7	0.4	929	6043	42
"1"	"1"	"own"	"SF"	"90"	"b"	"1"	3.74	10.72	0.77	135	0	52.5	39.4	0.8	836	5777	56
"8"	"1"	"foreign"	"SF"	"30"	"b"	"1"	3.74	10.72	0.77	145	0	79.1	39.4	0.8	NA	NA	48
"8"	"1"	"foreign"	"SF"	"30"	"b"	"2"	3.74	10.72	0.77	85	2	82	34.4	0	NA	NA	26
"8"	"1"	"foreign"	"SF"	"90"	"b"	"2"	3.74	10.72	0.77	130	0	63	37.4	0.5	1351	7665	41
"8"	"1"	"foreign"	"SF"	"90"	"b"	"1"	3.74	10.72	0.77	106	1	68	39.4	0.4	1384	7002	16
"2"	"1"	"foreign"	"SF"	"30"	"b"	"1"	3.74	10.72	0.77	94	0	76.6	35.4	0	NA	NA	12
"2"	"1"	"foreign"	"SF"	"30"	"b"	"2"	3.74	10.72	0.77	137	0	79.6	37.4	0	NA	NA	29
"2"	"1"	"foreign"	"SF"	"90"	"b"	"1"	3.74	10.72	0.77	99	0	54.1	32.5	0.4	1232	5761	28
"2"	"1"	"foreign"	"SF"	"90"	"b"	"2"	3.74	10.72	0.77	105	0	62.9	38.2	0.5	1461	5912	20
"9"	"1"	"foreign"	"SF"	"30"	"b"	"1"	3.74	10.72	0.77	97	1	80.1	43	1.5	NA	NA	30
"9"	"1"	"foreign"	"SF"	"30"	"b"	"2"	3.74	10.72	0.77	156	1	88.3	50.7	1.3	NA	NA	70
"9"	"1"	"foreign"	"SF"	"90"	"b"	"2"	3.74	10.72	0.77	94	0	74.2	42.3	1	925	4683	41
"9"	"1"	"foreign"	"SF"	"90"	"b"	"1"	3.74	10.72	0.77	87	0	76.7	38.5	0	1044	5291	28
"3"	"1"	"foreign"	"SF"	"30"	"b"	"2"	3.74	10.72	0.77	136	0	46.1	38.9	0.8	NA	NA	36
"3"	"1"	"foreign"	"SF"	"30"	"b"	"1"	3.74	10.72	0.77	126	0	50.5	35.3	0.5	NA	NA	31
"3"	"1"	"foreign"	"SF"	"90"	"b"	"2"	3.74	10.72	0.77	128	0	46.4	32.8	0	1466	7200	21
"3"	"1"	"foreign"	"SF"	"90"	"b"	"1"	3.74	10.72	0.77	116	0	55.4	36.7	0	1593	7393	26
"4"	"1"	"foreign"	"SF"	"30"	"b"	"2"	3.74	10.72	0.77	123	0	65	43.3	0.8	NA	NA	75
"4"	"1"	"foreign"	"SF"	"30"	"b"	"1"	3.74	10.72	0.77	160	0	67.4	46.1	0.9	NA	NA	70
"4"	"1"	"foreign"	"SF"	"90"	"b"	"1"	3.74	10.72	0.77	119	0	57.2	36.5	0.3	921	4203	32
"4"	"1"	"foreign"	"SF"	"90"	"b"	"2"	3.74	10.72	0.77	135	0	63.5	38.8	0.9	903	4254	63
"5"	NA	"control"	"SW"	"30"	"b"	"1"	NA	NA	NA	193	31	129.2	36.6	2	NA	NA	141
"5"	NA	"control"	"SW"	"30"	"b"	"2"	NA	NA	NA	125	24	135.8	26.4	0.6	NA	NA	95
"5"	NA	"control"	"SW"	"90"	"b"	"2"	NA	NA	NA	129	21	114.4	33.3	1.6	980	5232	82
"5"	NA	"control"	"SW"	"90"	"b"	"1"	NA	NA	NA	147	14	124.1	32.5	1.6	1012	5263	94
"6"	NA	"control"	"SW"	"30"	"b"	"1"	NA	NA	NA	141	24	140.9	26	0.8	NA	NA	53
"6"	NA	"control"	"SW"	"30"	"b"	"2"	NA	NA	NA	103	15	147.8	26.1	1	NA	NA	45
"6"	NA	"control"	"SW"	"90"	"b"	"1"	NA	NA	NA	92	13	137.3	27.5	1	706	3949	37
"6"	NA	"control"	"SW"	"90"	"b"	"2"	NA	NA	NA	132	31	172.5	21.6	1.1	673	3644	59
"7"	NA	"control"	"SW"	"30"	"b"	"2"	NA	NA	NA	120	1	132.8	34.7	1.6	NA	NA	54
"7"	NA	"control"	"SW"	"30"	"b"	"1"	NA	NA	NA	138	13	160.8	28	0.4	NA	NA	48
"7"	NA	"control"	"SW"	"90"	"b"	"2"	NA	NA	NA	114	22	118.2	31.7	0.7	1402	3774	35
"7"	NA	"control"	"SW"	"90"	"b"	"1"	NA	NA	NA	158	8	126	32.1	1.2	1277	3924	71
"1"	NA	"control"	"SW"	"30"	"b"	"1"	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
"1"	NA	"control"	"SW"	"30"	"b"	"2"	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
"1"	NA	"control"	"SW"	"90"	"b"	"1"	NA	NA	NA	NA	0	NA	NA	NA	843	2740	NA
"1"	NA	"control"	"SW"	"90"	"b"	"2"	NA	NA	NA	NA	0	NA	NA	NA	988	2551	NA
"8"	NA	"control"	"SW"	"30"	"b"	"1"	NA	NA	NA	137	19	135	34	1.3	NA	NA	62
"8"	NA	"control"	"SW"	"30"	"b"	"2"	NA	NA	NA	90	12	143.8	35.9	2.1	NA	NA	43
"8"	NA	"control"	"SW"	"90"	"b"	"1"	NA	NA	NA	155	12	122.7	36	1.8	1240	4796	57
"8"	NA	"control"	"SW"	"90"	"b"	"2"	NA	NA	NA	114	12	132.4	35.4	2.1	1184	4550	35
"2"	NA	"control"	"SW"	"30"	"b"	"1"	NA	NA	NA	110	9	115.4	27.2	1.2	NA	NA	35
"2"	NA	"control"	"SW"	"30"	"b"	"2"	NA	NA	NA	145	14	124.4	28.3	0.5	NA	NA	43
"2"	NA	"control"	"SW"	"90"	"b"	"2"	NA	NA	NA	83	12	112.5	32.7	1.2	1106	4061	29
"2"	NA	"control"	"SW"	"90"	"b"	"1"	NA	NA	NA	159	7	130.3	27.9	0.7	894	3580	36
"9"	NA	"control"	"SW"	"30"	"b"	"2"	NA	NA	NA	116	27	123.1	39.5	1.8	NA	NA	31
"9"	NA	"control"	"SW"	"30"	"b"	"1"	NA	NA	NA	119	7	161.7	42.1	2.2	NA	NA	53
"9"	NA	"control"	"SW"	"90"	"b"	"1"	NA	NA	NA	149	19	151.3	38.8	2	832	3405	50
"9"	NA	"control"	"SW"	"90"	"b"	"2"	NA	NA	NA	89	12	151.3	41.3	2	1185	3665	32
"3"	NA	"control"	"SW"	"30"	"b"	"2"	NA	NA	NA	111	2	77.6	30.8	0.9	NA	NA	35
"3"	NA	"control"	"SW"	"30"	"b"	"1"	NA	NA	NA	144	2	84.3	30.9	0.2	NA	NA	31
"3"	NA	"control"	"SW"	"90"	"b"	"1"	NA	NA	NA	100	1	79.4	28	0.5	791	4365	26
"3"	NA	"control"	"SW"	"90"	"b"	"2"	NA	NA	NA	129	2	89.7	31.8	1.1	840	4119	43
"4"	NA	"control"	"SW"	"30"	"b"	"1"	NA	NA	NA	187	25	113.1	35.4	1.5	NA	NA	116
"4"	NA	"control"	"SW"	"30"	"b"	"2"	NA	NA	NA	99	19	137.4	33.6	1.7	NA	NA	54
"4"	NA	"control"	"SW"	"90"	"b"	"1"	NA	NA	NA	142	12	106.3	28.5	1.5	1204	4293	80
"4"	NA	"control"	"SW"	"90"	"b"	"2"	NA	NA	NA	130	19	119.3	30.7	1.7	1291	4322	79
