"m_sp"	"m_sf"	"sf_treatment"	"treatment"	"time"	"subsample"	"replicate"	"APN"	"DPP4"	"NEP"	"tot_sperm"	"HA"	"VCL"	"LIN"	"ALH"	"n_dead_sperm"	"tot_sperm_viab"	"number_motile_cells_int"
"2"	"3"	"foreign"	"SF"	"30"	"a"	"2"	2.97	16.84	1.73	147	0	62.5	36.4	0.3	NA	NA	16
"2"	"3"	"foreign"	"SF"	"30"	"a"	"1"	2.97	16.84	1.73	108	0	82.9	36.4	1	NA	NA	19
"2"	"3"	"foreign"	"SF"	"90"	"a"	"1"	2.97	16.84	1.73	106	0	59.9	35.8	0.3	1084	4090	24
"2"	"3"	"foreign"	"SF"	"90"	"a"	"2"	2.97	16.84	1.73	115	0	81.9	40.3	0.4	1222	4314	24
"9"	"3"	"foreign"	"SF"	"30"	"a"	"1"	2.97	16.84	1.73	147	2	100.4	50.5	1.4	NA	NA	53
"9"	"3"	"foreign"	"SF"	"30"	"a"	"2"	2.97	16.84	1.73	83	1	100.8	49.4	1.3	NA	NA	30
"9"	"3"	"foreign"	"SF"	"90"	"a"	"2"	2.97	16.84	1.73	138	0	81.6	44.2	1.4	1132	4741	44
"9"	"3"	"foreign"	"SF"	"90"	"a"	"1"	2.97	16.84	1.73	75	0	83.3	42.3	1.2	876	3863	21
"3"	"3"	"own"	"SF"	"30"	"a"	"1"	2.97	16.84	1.73	109	0	47.3	34.2	0	NA	NA	29
"3"	"3"	"own"	"SF"	"30"	"a"	"2"	2.97	16.84	1.73	137	0	51.5	34.9	0.4	NA	NA	42
"3"	"3"	"own"	"SF"	"90"	"a"	"2"	2.97	16.84	1.73	107	0	46.2	37.4	0.6	1473	6283	30
"3"	"3"	"own"	"SF"	"90"	"a"	"1"	2.97	16.84	1.73	133	0	49	38.4	0.7	1411	6236	36
"4"	"3"	"foreign"	"SF"	"30"	"a"	"2"	2.97	16.84	1.73	100	1	73.1	49	1.1	NA	NA	51
"4"	"3"	"foreign"	"SF"	"30"	"a"	"1"	2.97	16.84	1.73	172	0	82.4	51.3	1.1	NA	NA	102
"4"	"3"	"foreign"	"SF"	"90"	"a"	"2"	2.97	16.84	1.73	126	1	71.2	44.9	1	830	3969	45
"4"	"3"	"foreign"	"SF"	"90"	"a"	"1"	2.97	16.84	1.73	140	0	74.2	40.2	1	970	4306	72
"6"	"3"	"foreign"	"SF"	"30"	"a"	"2"	2.97	16.84	1.73	75	1	81.5	43	1.6	NA	NA	31
"6"	"3"	"foreign"	"SF"	"30"	"a"	"1"	2.97	16.84	1.73	156	0	88.3	40.1	1.2	NA	NA	77
"6"	"3"	"foreign"	"SF"	"90"	"a"	"1"	2.97	16.84	1.73	74	0	74.3	40.1	0.5	697	4454	27
"6"	"3"	"foreign"	"SF"	"90"	"a"	"2"	2.97	16.84	1.73	173	1	75.1	36.9	1	708	4109	74
"5"	"4"	"foreign"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"4"	"foreign"	"SF"	"30"	"a"	"2"	2.87	18.26	2.06	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"4"	"foreign"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	NA	NA	NA	NA	NA	555	4143	NA
"5"	"4"	"foreign"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	NA	NA	NA	NA	NA	557	4119	NA
"6"	"4"	"foreign"	"SF"	"30"	"a"	"2"	2.87	18.26	2.06	111	4	99.5	41.4	1.3	NA	NA	43
"6"	"4"	"foreign"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	135	0	102.5	39.2	1.5	NA	NA	61
"6"	"4"	"foreign"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	117	1	83.7	40.4	1.4	917	5433	60
"6"	"4"	"foreign"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	102	0	87.2	40.3	1.3	838	5649	53
"1"	"4"	"foreign"	"SF"	"30"	"a"	"2"	2.87	18.26	2.06	112	4	79	52.1	1.1	NA	NA	64
"1"	"4"	"foreign"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	150	0	91	51.7	1.2	NA	NA	77
"1"	"4"	"foreign"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	107	1	69.4	52.4	1	851	4963	49
"1"	"4"	"foreign"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	112	0	74.2	44.1	1.1	799	5149	64
"8"	"4"	"foreign"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	135	2	77.9	37.2	1	NA	NA	33
"8"	"4"	"foreign"	"SF"	"30"	"a"	"2"	2.87	18.26	2.06	91	6	112.1	36.3	1.7	NA	NA	29
"8"	"4"	"foreign"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	84	0	54.6	33.8	0	1183	5218	12
"8"	"4"	"foreign"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	93	0	75.7	40.2	0.6	1288	5622	15
"2"	"4"	"foreign"	"SF"	"30"	"a"	"2"	2.87	18.26	2.06	126	1	77.5	33.7	0.9	NA	NA	23
"2"	"4"	"foreign"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	93	0	90.5	36.8	1.1	NA	NA	18
"2"	"4"	"foreign"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	130	1	64.9	29.4	0	1304	6211	29
"2"	"4"	"foreign"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	91	0	66.9	35.9	0	1185	5381	12
"9"	"4"	"foreign"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	80	4	96.3	41.3	1.4	NA	NA	31
"9"	"4"	"foreign"	"SF"	"30"	"a"	"2"	2.87	18.26	2.06	122	5	100.6	43	1.8	NA	NA	44
"9"	"4"	"foreign"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	115	1	88.3	36.1	1.4	1097	5234	17
"9"	"4"	"foreign"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	87	1	90	43.5	1.4	1034	4910	27
"3"	"4"	"foreign"	"SF"	"30"	"a"	"2"	2.87	18.26	2.06	136	0	61.7	35.9	1	NA	NA	35
"3"	"4"	"foreign"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	109	0	67.2	31	0.4	NA	NA	32
"3"	"4"	"foreign"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	129	0	53.9	34.5	0.7	1451	6291	31
"3"	"4"	"foreign"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	78	0	55.4	36.2	0	1567	6426	14
"4"	"4"	"own"	"SF"	"30"	"a"	"2"	2.87	18.26	2.06	123	5	73.7	44.8	1.1	NA	NA	59
"4"	"4"	"own"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	158	1	90.6	40.7	1.3	NA	NA	80
"4"	"4"	"own"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	120	0	68.4	38.5	1.3	996	5932	55
"4"	"4"	"own"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	103	0	73.3	45.8	1.2	1246	6246	46
"7"	"4"	"foreign"	"SF"	"30"	"a"	"2"	2.87	18.26	2.06	137	3	91	39.8	0.5	NA	NA	40
"7"	"4"	"foreign"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	130	4	99.7	38.7	0.9	NA	NA	44
"7"	"4"	"foreign"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	120	0	56.4	31.8	0	996	4454	30
"7"	"4"	"foreign"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	87	0	57	37.7	0	982	4647	22
"5"	"5"	"own"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"5"	"own"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"5"	"own"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	109	3	83.1	46	1.1	662	3706	49
"5"	"5"	"own"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	116	1	87.4	48.5	1.3	619	3698	48
"6"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	118	0	86.4	38.9	0.8	NA	NA	38
"6"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	118	1	89.6	34.8	1.1	NA	NA	51
